kaupunginosa,huoneisto,talotyyppi,neliot,velaton_hinta,neliohinta,rakennusvuosi,kerros,hissi,kunto,tontti,energialuokka,apartment_type,postcode
Punavuori,"3h,kt,kph,vh,ra...",kt,"60,00",499500,8325,2019,2/5,on,hyvä,oma,C2013,Kolmiot,00150
Ullanlinna,3h+avokeitti...,kt,"84,00",824000,9810,1909,3/4,ei,hyvä,oma,E2018,Kolmiot,00150
Eira,"3h,k, 2x parveke",kt,"74,40",740000,9946,1951,2/4,on,tyyd.,oma,,Kolmiot,00150
Punavuori,"3h, avok, kph, ...",kt,"67,00",490000,7313,1968,4/6,on,hyvä,oma,E2018,Kolmiot,00150
Punavuori,"4-5h, k, kph, k...",kt,"120,00",980000,8167,1963,7/8,on,hyvä,oma,F2013,Neljä huonetta tai enemmän,00150
Eira,"2mh, oh, rt, k,...",kt,"102,40",1050000,10254,1910,3/4,ei,tyyd.,oma,F2013,Neljä huonetta tai enemmän,00150
Punavuori,4h+avok+kph+khh...,kt,"97,50",767000,7867,1952,2/5,on,hyvä,oma,E2013,Neljä huonetta tai enemmän,00150
Kruununhaka,"1h, k",kt,"21,30",199000,9343,1890,5/5,on,hyvä,oma,F2013,Yksiöt,00170
Kruunhaka,1h+ks+wc,kt,"18,80",175000,9309,1874,3/5,on,hyvä,oma,G2018,Yksiöt,00170
Kruununhaka,"1h, k",kt,"38,50",230000,5974,1928,4/5,on,tyyd.,oma,D2007,Yksiöt,00170
Kruununhaka,1h+pk+kh,kt,"37,00",278000,7514,1874,2/4,on,tyyd.,oma,G2018,Yksiöt,00170
Kruununhaka,1h+kk,kt,"23,00",188000,8174,1908,,on,tyyd.,oma,E2018,Yksiöt,00170
Kruununhaka,"1h, avok, kph",kt,"23,00",200000,8696,1957,3/5,on,tyyd.,oma,F2013,Yksiöt,00170
Kruununhaka,"1h, avok, kph, ...",kt,"28,50",329000,11544,1861,3/5,ei,hyvä,oma,,Yksiöt,00170
